journal	abbreviation	impact_factor
Addiction Science & Clinical Practice	ADDICT SCI CLIN PRAC	2.6
ADDICTIVE BEHAVIORS	ADDICT BEHAV	4.1
Addictive Behaviors Reports	ADDICT BEHAV REP	3.3
Additive Manufacturing	ADDIT MANUF	11.3
Additive Manufacturing Letters	ADDIT MANUF LETT	5.2
Adelaide Law Review	ADEL LAW REV	0.3
Adicciones	ADICCIONES	1.2
Adipocyte	ADIPOCYTE	3.3
ADMET and DMPK	ADMET DMPK	5.1
Administracao Publica e Gestao Social	ADM PUBLICA GEST SOC	0.2
Administracao-Ensino e Pesquisa	ADMINISTRACAO	0.2
Administration	ADMINSTRATION	0.3
ADMINISTRATION & SOCIETY	ADMIN SOC	1.9
Administration and Policy in Mental Health and Mental Health Services Research	ADM POLICY MENT HLTH	2.6
ADMINISTRATIVE SCIENCE QUARTERLY	ADMIN SCI QUART	7.9
Administrative Sciences	ADM SCI	3.9
Adolescent Psychiatry	ADOLES PSYCHIAT-NETH	0.3
Adolescent Research Review	ADOLESC RES REV	8.3
Adolescents	ADOLESCENTS-BASEL	1.7
Adoption and Fostering	ADOPT FOSTER	1
Adoption Quarterly	ADOPT Q	1.1
ADSORPTION SCIENCE & TECHNOLOGY	ADSORPT SCI TECHNOL	2.5
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY	ADSORPTION	3.3
ADULT EDUCATION QUARTERLY	ADULT EDUC QUART	1.6
Adult Learning	ADULT LEARN	2.3
Adultspan Journal	ADULTSPAN J	0.6
Advanced Agrochem	ADV AGROCHEM	9.2
Advanced Biology	ADV BIOL-GER	3.2
Advanced Biomedical Engineering	ADV BIOMED ENG	0.7
Advanced Biomedical Research	ADV BIOMED RES-INDIA	1.1
Advanced Biotechnology	ADV BIOTECHNOL-SING	8.8
ADVANCED COMPOSITE MATERIALS	ADV COMPOS MATER	2.7
Advanced Composites and Hybrid Materials	ADV COMPOS HYBRID MA	15.5
Advanced Devices & Instrumentation	ADV DEVICE INSTRUM	6
ADVANCED DRUG DELIVERY REVIEWS	ADV DRUG DELIVER REV	21
Advanced Education	ADV EDUC	0.7
Advanced Electromagnetics	ADV ELECTROMAGN	1.2
Advanced Electronic Materials	ADV ELECTRON MATER	5.9
Advanced Emergency Nursing Journal	ADV EMERG NURS J	0.6
Advanced Energy and Sustainability Research	ADV ENERG SUST RES	6.4
Advanced Energy Materials	ADV ENERGY MATER	25.5
ADVANCED ENGINEERING INFORMATICS	ADV ENG INFORM	11.5
ADVANCED ENGINEERING MATERIALS	ADV ENG MATER	3.6
Advanced Fiber Materials	ADV FIBER MATER	22.6
ADVANCED FUNCTIONAL MATERIALS	ADV FUNCT MATER	19.9
Advanced Healthcare Materials	ADV HEALTHC MATER	11
Advanced Industrial and Engineering Polymer Research	ADV IND ENG POLY RES	18.4
Advanced Intelligent Systems	ADV INTELL SYST-GER	6.7
Advanced Manufacturing-Polymer & Composites Science	ADV MANUF-POLYM COMP	3.3
ADVANCED MATERIALS	ADV MATER	29.1
Advanced Materials Interfaces	ADV MATER INTERFACES	4.5
Advanced Materials Technologies	ADV MATER TECHNOL-US	6
Advanced Membranes	ADV MEMBR	12.6
Advanced Modeling and Simulation in Engineering Sciences	ADV MODEL SIMUL ENG	4.1
Advanced NanoBiomed Research	ADV NANOBIOMED RES	4.8
ADVANCED NONLINEAR STUDIES	ADV NONLINEAR STUD	2.3
Advanced Optical Materials	ADV OPT MATER	7.2
Advanced Optical Technologies	ADV OPT TECHNOL	3.2
Advanced Pharmaceutical Bulletin	ADV PHARM BULL	4.7
Advanced Photonics	ADV PHOTONICS	19.5
Advanced Photonics Nexus	ADV PHOTON NEXUS	6.3
Advanced Photonics Research	ADV PHOTON RES	4
Advanced Physics Research	ADV PHYS RES-US	3.4
Advanced Powder Materials	ADV POWDER MATER	26.8
ADVANCED POWDER TECHNOLOGY	ADV POWDER TECHNOL	4.5
Advanced Quantum Technologies	ADV QUANTUM TECHNOL	4.3
ADVANCED ROBOTICS	ADV ROBOTICS	1.7
Advanced Science	ADV SCI	14.1
Advanced Sensor and Energy Materials	ADV SENS ENERGY MAT	12.3
Advanced Sensor Research	ADV SENSOR RES	5
Advanced Steel Construction	ADV STEEL CONSTR	1.4
Advanced Studies-Euro-Tbilisi Mathematical Journal	ADV STUD EURO TBILIS	0.4
Advanced Sustainable Systems	ADV SUSTAIN SYST	5.6
ADVANCED SYNTHESIS & CATALYSIS	ADV SYNTH CATAL	3.7
Advanced Theory and Simulations	ADV THEOR SIMUL	3.2
Advanced Therapeutics	ADV THER-GERMANY	3.2
Advancements of Microbiology	ADV MICROBIOL-NY	0.7
Advances and Applications in Discrete Mathematics	ADV APPL DISCRET MAT	0.4
Advances and Applications in Statistics	ADV APPL STAT	0.3
Advances in Accounting	ADV ACCOUNT	1.1
Advances in Aerodynamics	ADV AERODYNAM	3.2
Advances in Agriculture	ADV AGR	3.4
Advances in Aircraft and Spacecraft Science	ADV AIRCR SPACECR SC	0.7
ADVANCES IN ANATOMIC PATHOLOGY	ADV ANAT PATHOL	2.8
Advances in Applied Ceramics	ADV APPL CERAM	1.6
Advances in Applied Clifford Algebras	ADV APPL CLIFFORD AL	1
Advances in Applied Energy	ADV APPL ENERGY	18.3
ADVANCES IN APPLIED MATHEMATICS	ADV APPL MATH	1.2
Advances in Applied Mathematics and Mechanics	ADV APPL MATH MECH	0.8
ADVANCES IN APPLIED PROBABILITY	ADV APPL PROBAB	1
Advances in Archaeological Practice	ADV ARCHAEOL PRACT	1.8
Advances in Artificial Intelligence and Machine Learning	ADV ARTIF INTELL MAC	0.8
Advances in Astronomy	ADV ASTRON	0.9
ADVANCES IN ATMOSPHERIC SCIENCES	ADV ATMOS SCI	5
Advances in Autism	ADV AUTISM	1
Advances in Bamboo Science	ADV BAMBOO SCI	3.9
Advances in Biological Regulation	ADV BIOL REGUL	2.7
Advances in Bridge Engineering	ADV BRIDGE ENG	2.4
Advances in Building Energy Research	ADV BUILD ENERGY RES	2.7
Advances in Calculus of Variations	ADV CALC VAR	1.5
Advances in Cancer Biology-Metastasis	ADV CANCER BIOL-MET	4.2
ADVANCES IN CEMENT RESEARCH	ADV CEM RES	2.3
Advances in Civil and Architectural Engineering	ADV CIV ARCHIT ENG	0.9
Advances in Civil Engineering	ADV CIV ENG	1.8
Advances in Civil Engineering Materials	ADV CIV ENG MATER	1.6
Advances in Climate Change Research	ADV CLIM CHANG RES	5.6
Advances in Clinical and Experimental Medicine	ADV CLIN EXP MED	2.5
Advances in Cognitive Psychology	ADV COGN PSYCHOL	0.9
ADVANCES IN COLLOID AND INTERFACE SCIENCE	ADV COLLOID INTERFAC	23.7
ADVANCES IN COMPLEX SYSTEMS	ADV COMPLEX SYST	1.1
Advances in Computational Design, An International Journal	ADV COMPUT DES	0.7
ADVANCES IN COMPUTATIONAL MATHEMATICS	ADV COMPUT MATH	2.6
Advances in Concrete Construction	ADV CONCR CONSTR	1.7
Advances in Condensed Matter Physics	ADV COND MATTER PHYS	3.1
Advances in Continuous and Discrete Models	ADV CONTIN DISCRET M	1.6
Advances in Data Analysis and Classification	ADV DATA ANAL CLASSI	2.1
Advances in Data Science and Adaptive Analysis	ADV DATA SCI ADAPT	0.6
Advances in Developing Human Resources	ADV DEV HUM RESOUR	2.1
Advances in Differential Equations	ADV DIFFERENTIAL EQU	1.4
Advances in Differential Equations and Control Processes	ADV DIFFER EQU CONTR	1.2
Advances in Digestive Medicine	ADV DIG MED	0.5
Advances in Dual Diagnosis	ADV DUAL DIAGN	0.7
Advances in Electrical and Computer Engineering	ADV ELECTR COMPUT EN	0.9
Advances in Electrical and Electronic Engineering	ADV ELECTR ELECTRON	1.3
Advances in Energy Research	ADV ENERGY RES	2
ADVANCES IN ENGINEERING SOFTWARE	ADV ENG SOFTW	6.3
Advances in Environmental Research-An International Journal	AD ENVIRON RES	0.5
Advances in Fuzzy Systems	ADV FUZZY SYST	1.9
Advances in Geo-Energy Research	ADV GEO-ENERGY RES	11.2
Advances in Geodesy and Geoinformation	ADV GEODES GEOINFORM	0.6
ADVANCES IN GEOMETRY	ADV GEOM	0.8
Advances in Gerontology	ADV GERONTOL	1.3
Advances in Group Theory and Applications	ADV GROUP THEOR APPL	0.5
ADVANCES IN HEALTH SCIENCES EDUCATION	ADV HEALTH SCI EDUC	3.4
Advances in High Energy Physics	ADV HIGH ENERGY PHYS	1
Advances in Hospitality and Tourism Research-AHTR	ADV HOSP TOUR RES-AH	1.7
Advances in Human Biology	ADV HUM BIOL	0.9
Advances in Human-Computer Interaction	ADV HUM-COMPUT INTER	2.4
Advances in Industrial and Manufacturing Engineering	ADV IND MANUF ENG	6.1
Advances in Integrative Medicine	ADV INTEGR MED	1.4
Advances in Kidney Disease and Health	ADV KIDNEY DIS HEAL	3.1
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio	ADV LAB MED	1.4
Advances in Life Course Research	ADV LIFE COURSE RES	3
Advances in Manufacturing	ADV MANUF	3.9
Advances in Materials and Processing Technologies	ADV MATER PROCESS TE	2.3
Advances in Materials Research-An International Journal	ADV MATER RES-KR	1.6
Advances in Materials Science	ADV MATER SCI	1.9
Advances in Mathematical Physics	ADV MATH PHYS	1.4
ADVANCES IN MATHEMATICS	ADV MATH	1.7
Advances in Mathematics of Communications	ADV MATH COMMUN	0.8
Advances in Mechanical Engineering	ADV MECH ENG	2.3
Advances in Medical Education and Practice	ADV MED EDUC PRACT	1.9
Advances in Medical Sciences	ADV MED SCI-POLAND	2.5
Advances in Mental Health	ADV MENT HEALTH	1.8
Advances in Mental Health and Intellectual Disabilities	ADV MENT HEALTH INTE	0.7
Advances in Meteorology	ADV METEOROL	2.6
Advances in Methods and Practices in Psychological Science	ADV METH PRACT PSYCH	14.6
Advances in Multimedia	ADV MULTIMED	0.9
Advances in Nano Research	ADV NANO RES	3.7
Advances in Natural Sciences-Nanoscience and Nanotechnology	ADV NAT SCI-NANOSCI	2.4
Advances in Neonatal Care	ADV NEONAT CARE	1.6
Advances in Neurodevelopmental Disorders	ADV NEURODEV DISORD	2
Advances in Nonlinear Analysis	ADV NONLINEAR ANAL	3.4
ADVANCES IN NURSING SCIENCE	ADV NURS SCI	1.7
Advances in Nutrition	ADV NUTR	12.7
Advances in Operator Theory	ADV OPER THEORY	0.7
Advances in Ophthalmology Practice and Research	ADV OPHTHALMOL PRACT	4.5
Advances in Optics and Photonics	ADV OPT PHOTONICS	30.1
Advances in Orthopedics	ADV ORTHOP	1.5
Advances in Pharmacological and Pharmaceutical Sciences	ADV PHARM PHARM SCI	2.9
Advances in Pharmacology and Pharmacy	ADV PHARMACOL PHARM	0.9
ADVANCES IN PHYSICS	ADV PHYS	7
Advances in Physics-X	ADV PHYS-X	9.9
ADVANCES IN PHYSIOLOGY EDUCATION	ADV PHYSIOL EDUC	1.9
ADVANCES IN POLYMER TECHNOLOGY	ADV POLYM TECH	3.7
Advances in Production Engineering & Management	ADV PROD ENG MANAG	3.2
Advances in Public Health	ADV PUBLIC HLTH	1.7
Advances in Pure and Applied Mathematics	ADV PURE APPL MATH	0.3
Advances in Radiation Oncology	ADV RADIAT ONCOL	2.9
Advances in Radio Science	ADV RADIO SCI	0.9
Advances in Redox Research	ADV REDOX RES	3.8
Advances in Rehabilitation Science and Practice	ADV REHAB SCI PRAC	2.3
Advances in Respiratory Medicine	ADV RESPIR MED	4.5
Advances in Rheumatology	ADV RHEUMATOL	2.8
Advances in Sample Preparation	ADV SAMPLE PREP	6.6
Advances in Science and Technology-Research Journal	ADV SCI TECHNOL-RES	1.5
Advances in Simulation	ADV SIMUL	3.6
Advances in Skin & Wound Care	ADV SKIN WOUND CARE	1.5
ADVANCES IN SPACE RESEARCH	ADV SPACE RES	3.2
ADVANCES IN STRUCTURAL ENGINEERING	ADV STRUCT ENG	2.5
Advances in Theoretical and Mathematical Physics	ADV THEOR MATH PHYS	2.2
ADVANCES IN THERAPY	ADV THER	4.7
Advances in Traditional Medicine	ADV TRADIT MED	1.4
Advances in Urology	ADV UROL	0.6
Advances in Virology	ADV VIROL	2.1
ADVANCES IN WATER RESOURCES	ADV WATER RESOUR	4.1
Advances in Weed Science	ADV WEED SCI	1
Advances in Wound Care	ADV WOUND CARE	5.7
Adversity and Resilience Science	ADVERS RESIL SCI	2.1
AEM Education and Training	AEM EDUC TRAIN	1.6
Aeolian Research	AEOLIAN RES	3.2
Aequationes Mathematicae	AEQUATIONES MATH	0.9
AERA Open	AERA OPEN	2.8
AEROBIOLOGIA	AEROBIOLOGIA	2.1
AERONAUTICAL JOURNAL	AERONAUT J	1.8
Aerosol and Air Quality Research	AEROSOL AIR QUAL RES	2.9
Aerosol Science and Engineering	AEROSOL SCI ENG	2.3
AEROSOL SCIENCE AND TECHNOLOGY	AEROSOL SCI TECH	2.2
Aerospace	AEROSPACE-BASEL	2.5
Aerospace Medicine and Human Performance	AEROSP MED HUM PERF	0.8
Aerospace Research in Bulgaria	AEROSP RES BULG	0.4
Aerospace Science and Technology	AEROSP SCI TECHNOL	6.4
AEROTECNICA MISSILI E SPAZIO	AEROTEC MISSILI SPAZ	1.5
AESTHETIC PLASTIC SURGERY	AESTHET PLAST SURG	2.7
Aesthetic Surgery Journal	AESTHET SURG J	4.2
Aesthetic Surgery Journal Open Forum	AESTHET SURG J OPEN	2.3
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS	AEU-INT J ELECTRON C	3.1
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE	AEVUM-RASS SCI STOR	0.1
Affective Science	AFFECT SCI	2.8
Affilia-Feminist Inquiry in Social Work	AFFILIA	2.4
Afghanistan	AFGHANISTAN-UK	0.2
AFINIDAD	AFINIDAD	0.4
Afkar-Jurnal Akidah & Pemikiran Islam-Journal of Aqidah & Islamic Thought	AFKAR	0.5
AFRICA	AFRICA	1.3
Africa Education Review	AFR EDUC RE	0.5
Africa Journal of Management	AFR J MANAGE	1.9
Africa Review	AFR REV-ABINGDON	0.5
Africa Spectrum	AFR SPECTR	1.8
AFRICAN AFFAIRS	AFR AFFAIRS	2.3
African and Asian Studies	AFR ASIAN STUD	1.2
African Archaeological Review	AFR ARCHAEOL REV	1.1
AFRICAN ARTS	AFR ARTS	0.4
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT	AFR DEV REV	2.1
African Diaspora	AFR DIASPORA	0.3
African Disability Rights Yearbook	AFR DISABIL RIGHTS Y	0.2
AFRICAN ECONOMIC HISTORY	AFR ECON HIST	0.4
AFRICAN ENTOMOLOGY	AFR ENTOMOL	0.9
African Geographical Review	AFR GEOGR REV	1.7
African Health Sciences	AFR HEALTH SCI	0.9
African Historical Review	AFR HIST REV	0.2
AFRICAN INVERTEBRATES	AFR INVERTEBR	0.8
African Journal of Accounting Auditing and Finance	AFR J ACCOUNT AUDIT	0.6
African Journal of Agricultural and Resource Economics-AFJARE	AFR J AGRIC RESOUR E	0.3
AFRICAN JOURNAL OF AQUATIC SCIENCE	AFR J AQUAT SCI	0.9
African Journal of Business Ethics	AFR J BUS ETHICS	0.4
African Journal of Disability	AFR J DISABIL	1.6
AFRICAN JOURNAL OF ECOLOGY	AFR J ECOL	1.4
African Journal of Economic and Management Studies	AFR J ECON MANAG STU	2
African Journal of Emergency Medicine	AFR J EMERG MED	1.3
African Journal of Employee Relations	AFR J EMPLOYEE RELAT	0.1
African Journal of Health Professions Education	AFR J HEALTH PROF ED	0.7
AFRICAN JOURNAL OF HERPETOLOGY	AFR J HERPETOL	0.8
African Journal of Information Systems	AFR J INF SYST	0.7
African Journal of International and Comparative Law	AFR J INT COMP LAW	0.2
African Journal of Laboratory Medicine	AFR J LAB MED	1.4
African Journal of Legal Studies	AFR J LEG STUD	0.4
African Journal of Library Archives and Information Science	AFR J LIBR ARCH INFO	0.7
AFRICAN JOURNAL OF MARINE SCIENCE	AFR J MAR SCI	1.1
African Journal of Nursing and Midwifery	AFR J NURS MIDWIFERY	0.6
African Journal of Primary Health Care & Family Medicine	AFR J PRIM HEALTH CA	1.7
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE	AFR J RANGE FOR SCI	1.6
African Journal of Reproductive Health	AFR J REPROD HEALTH	1
African Journal of Research in Mathematics Science and Technology Education	AFR J RES MATH SCI T	1
African Journal of Science Technology Innovation & Development	AFR J SCI TECHNOL IN	1.6
African Journal of Urology	AFR J UROL	0.7
African Journal of Wildlife Research	AFR J WILDL RES	1.2
African Journal on Conflict Resolution	AFR J CONFL RESOLUT	0.6
African Journalism Studies	AFR JOURNAL STUD	0.9
African Review of Economics and Finance-AREF	AFR REV ECON FINANC	0.2
African Security	AFR SECUR	2.1
African Security Review	AFR SECUR REV	1.1
AFRICAN STUDIES	AFR STUD-UK	0.7
African Studies Review	AFR STUD REV	0.9
African Vision and Eye Health	AFR VIS EYE HEALTH	0.8
AFRICAN ZOOLOGY	AFR ZOOL	0.9
Afrika Focus	AFRIKA FOCUS	0.1
Afrika Matematika	AFR MAT	0.8
Afriques-Debats Methodes et Terrains d Histoire	AFRIQUES	0.2
Afterall	AFTERALL	0.2
Agathos-An International Review of the Humanities and Social Sciences	AGATHOS	0.1
AGE AND AGEING	AGE AGEING	7.4
Age of Human Rights Journal	AGE HUM RIGHTS J	0.5
AGEING & SOCIETY	AGEING SOC	2.2
Ageing International	AGEING INT	1.1
AGEING RESEARCH REVIEWS	AGEING RES REV	15.5
Agenda-Empowering Women for Gender Equity	AGENDA-EMPOWER WOMEN	0.9
Ager-Revista de Estudios sobre Despoblacion y Desarrollo Rural	AGER	0.7
Aggregate	AGGREGATE	14.5
AGGRESSION AND VIOLENT BEHAVIOR	AGGRESS VIOLENT BEH	4.5
AGGRESSIVE BEHAVIOR	AGGRESSIVE BEHAV	2.3
AGING & MENTAL HEALTH	AGING MENT HEALTH	2.9
Aging and Disease	AGING DIS	9.6
Aging and Health Research	AGING HEALTH RES	2.7
Aging Brain	AGING BRAIN	2.8
AGING CELL	AGING CELL	7.7
AGING CLINICAL AND EXPERIMENTAL RESEARCH	AGING CLIN EXP RES	4.7
Aging Male	AGING MALE	3
Aging Medicine	AGING MED-PRC	3.1
AGING NEUROPSYCHOLOGY AND COGNITION	AGING NEUROPSYCHOL C	2
Agora para la Educacion Fisica y el Deporte	AGORA EDUC FIS DEPOR	0.3
Agora-Estudos Classicos em Debate	AGORA-ESTUD CLASS DE	0.1
Agora-Papeles de Filosofia	AGORA-PAP FILOS	0.1
Agrarforschung Schweiz	AGRARFORSCH SCHWEIZ+	0.2
Agrarian South-Journal of Political Economy	AGRAR S	1.7
Agrekon	AGREKON	2.1
Agri-The Journal of the Turkish Society of Algology	AGRI	0.8
Agribusiness	AGRIBUSINESS	2.4
Agricultura Sociedad y Desarrollo	AGRIC SOC DESARRO	0.4
Agricultural & Environmental Letters	AGR ENV LETT	3.3
Agricultural and Food Economics	AGR FOOD ECON	5.4
AGRICULTURAL AND FOOD SCIENCE	AGR FOOD SCI	1
AGRICULTURAL AND FOREST ENTOMOLOGY	AGR FOREST ENTOMOL	1.7
AGRICULTURAL AND FOREST METEOROLOGY	AGR FOREST METEOROL	6.6
Agricultural and Resource Economics Review	AGRIC RESOUR ECON RE	2
Agricultural and Resource Economics-International Scientific E-Journal	AGR RESOUR EC INT SC	1.3
AGRICULTURAL ECONOMICS	AGR ECON-BLACKWELL	4.7
Agricultural Economics-Zemedelska Ekonomika	AGR ECON-CZECH	1.6
Agricultural Engineering-Poland	AGR ENG-POL	2.6
Agricultural Finance Review	AGRIC FINANCE REV	1.6
AGRICULTURAL HISTORY	AGR HIST	0.8
AGRICULTURAL HISTORY REVIEW	AGR HIST REV	0.6
AGRICULTURAL RESEARCH	AGR RES	1.5
Agricultural Science and Practice	AGR SCI PRACT	0.2
AGRICULTURAL SYSTEMS	AGR SYST	6.2
Agricultural Water Management	AGR WATER MANAGE	7.8
Agriculture & Food Security	AGR FOOD SECUR	6.1
AGRICULTURE AND HUMAN VALUES	AGR HUM VALUES	4.3
Agriculture Communications	AGR COMMUN-PRC	11.9
AGRICULTURE ECOSYSTEMS & ENVIRONMENT	AGR ECOSYST ENVIRON	7.7
Agriculture-Basel	AGRICULTURE-BASEL	4.5
AgriEngineering	AGRIENGINEERING	3.1
Agris on-line Papers in Economics and Informatics	AGRIS ON-LINE PAP EC	0.9
Agritech	AGRITECH	0.4
Agrivita	AGRIVITA	0.5
AGROCIENCIA	AGROCIENCIA-MEXICO	0.5
Agrociencia Uruguay	AGROCIENCIA-URUGUAY	0.8
Agroecology and Sustainable Food Systems	AGROECOL SUST FOOD	2.4
AGROFORESTRY SYSTEMS	AGROFOREST SYST	3.2
AgroLife Scientific Journal	AGROLIFE SCI J	1
AGRONOMIA MESOAMERICANA	AGRON MESOAM	0.6
Agronomy for Sustainable Development	AGRON SUSTAIN DEV	8.2
AGRONOMY JOURNAL	AGRON J	2.5
Agronomy-Basel	AGRONOMY-BASEL	4.1
Agrosystems Geosciences & Environment	AGROSYS GEOSCI ENV	2.1
AGU Advances	AGU ADV	7.4
Agua y Territorio	AQUA TERRIT	1.1
AI	AI-BASEL	6.5
AI & Society	AI SOC	6.1
AI COMMUNICATIONS	AI COMMUN	1.3
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING	AI EDAM	2.5
AI MAGAZINE	AI MAG	3.5
AI Open	AI OPEN	8.9
AIAA JOURNAL	AIAA J	3.2
AIB Studi	AIB STUD	0.2
AIBR-Revista de Antropologia Iberoamericana	AIBR-REV ANTROPOL IB	0.4
AICHE JOURNAL	AICHE J	4.4
AIDS	AIDS	2.9
AIDS AND BEHAVIOR	AIDS BEHAV	2.5
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV	AIDS CARE	1.5
AIDS EDUCATION AND PREVENTION	AIDS EDUC PREV	1.5
AIDS PATIENT CARE AND STDS	AIDS PATIENT CARE ST	4.4
AIDS RESEARCH AND HUMAN RETROVIRUSES	AIDS RES HUM RETROV	1
AIDS Research and Therapy	AIDS RES THER	2.8
AIDS Research and Treatment	AIDS RES TREAT	2.1
AIDS REVIEWS	AIDS REV	2
AILA Review	AILA REV	0.8
AIMS Agriculture and Food	AIMS AGRIC FOOD	1.8
AIMS Allergy and Immunology	AIMS ALLERGY IMMUNOL	0.4
AIMS Bioengineering	AIMS BIOENG	1.6
AIMS Biophysics	AIMS BIOPHYS	1.9
AIMS Energy	AIMS ENERGY	2
AIMS Environmental Science	AIMS ENVIRON SCI	1.3
AIMS Geosciences	AIMS GEOSCI	1.1
AIMS Materials Science	AIMS MATER SCI	2.1
AIMS Mathematics	AIMS MATH	1.8
AIMS Medical Science	AIMS MED SCI	0.7
AIMS Microbiology	AIMS MICROBIOL	5.4
AIMS Molecular Science	AIMS MOL SCI	1.3
AIMS Neuroscience	AIMS NEUROSCI	4.3
AIMS Public Health	AIMS PUBLIC HEALTH	4
Ain Shams Engineering Journal	AIN SHAMS ENG J	6.2
Ain Shams Journal of Anesthesiology	AIN SHAMS J ANESTHES	0.4
AIP Advances	AIP ADV	1.7
Air & Space Law	AIR SPACE LAW	0.8
Air Quality Atmosphere and Health	AIR QUAL ATMOS HLTH	3.1
Air Soil and Water Research	AIR SOIL WATER RES	2.9
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY	AIRCR ENG AEROSP TEC	2
AIS Transactions on Human-Computer Interaction	AIS T HUM-COMPUT INT	3.4
Ajalooline Ajakiri-The Estonian Historical Journal	AJALOOLINE AJAK	0.3
AJAR-African Journal of AIDS Research	AJAR-AFR J AIDS RES	1.3
AJIDD-American Journal on Intellectual and Developmental Disabilities	AJIDD-AM J INTELLECT	2.3
AJIL Unbound	AJIL UNBOUND	1.8
AJOG Global Reports	AJOG GLOB REP	2.7
AJP Reports	AJP REP	0.7
AJPM Focus	AJPM FOCUS	2.8
AJS Review-The Journal of the Association for Jewish Studies	AJS REV	0.3
AKADEMIKA	AKADEMIKA-MALAYSIA	0.6
AKCE International Journal of Graphs and Combinatorics	AKCE INT J GRAPHS CO	0.9
Akkadica	AKKADICA	0.3
Akroterion-Journal for the Classics in South Africa	AKROTERION	0.1
Aktualni Gynekologie a Porodnictvi	AKTUALNI GYNEKOL POR	0.1
Aktualnosci Neurologiczne	AKTUAL NEUROL	0.2
AKTUELLE DERMATOLOGIE	AKTUEL DERMATOL	0.1
AKTUELLE ERNAHRUNGSMEDIZIN	AKTUEL ERNAHRUNGSMED	0.5
AKTUELLE RHEUMATOLOGIE	AKTUEL RHEUMATOL	0.1
AKTUELLE UROLOGIE	AKTUEL UROL	0.5
Akustika	AKUSTIKA	0.8
Al-Arabiyya-Journal of the American Association of Teachers of Arabic	AL-ARABIYYA	0.1
Al-Bayan-Journal of Quran and Hadith Studies	AL-BAYAN	0.1
Al-Jamiah-Journal of Islamic Studies	AL-JAMIAH	0.3
Al-Masaq-Journal of the Medieval Mediterranean	AL-MASAQ	0.6
AL-QANTARA	AL-QANTARA	0.6
Al-Shajarah	AL-SHAJARAH	0.1
Alabe-Revista de Investigacion sobre Lectura y Escritura	ALABE	0.2
ALBERTA LAW REVIEW	ALTA LAW REV	0.7
ALCHERINGA	ALCHERINGA	2.6
ALCOHOL	ALCOHOL	2.9
ALCOHOL AND ALCOHOLISM	ALCOHOL ALCOHOLISM	2.3
Alcohol Research-Current Reviews	ALCOHOL RES-CURR REV	8.4
ALCOHOL-CLINICAL AND EXPERIMENTAL RESEARCH	ALCOHOL CLIN EXP RES	2.4
Alcoholism Treatment Quarterly	ALCOHOL TREAT Q	1.2
ALDRICHIMICA ACTA	ALDRICHIM ACTA	0.8
Alea-Estudos Neolatinos	ALEA-ESTUD NEOLAT	0.1
ALEA-Latin American Journal of Probability and Mathematical Statistics	ALEA-LAT AM J PROBAB	0.6
Alergia Astma Immunologia	ALERG ASTMA IMMUNOL	0.2
Alergologia Polska-Polish Journal of Allergology	ALERGOL POL	1.1
Alexandria Engineering Journal	ALEX ENG J	6.4
Alexandria Journal of Medicine	ALEX J MED	0.7
ALGAE	ALGAE-SEOUL	3.3
Algal Research-Biomass Biofuels and Bioproducts	ALGAL RES	5
Algebra & Number Theory	ALGEBR NUMBER THEORY	1.4
Algebra And Discrete Mathematics	ALGEBRA DISCRET MATH	0.4
Algebra and Logic	ALGEBR LOG+	0.4
ALGEBRA COLLOQUIUM	ALGEBR COLLOQ	0.3
ALGEBRA UNIVERSALIS	ALGEBR UNIV	0.4
Algebraic and Geometric Topology	ALGEBR GEOM TOPOL	0.8
Algebraic Combinatorics	ALGEBR COMB	1.1
Algebraic Geometry	ALGEBRAIC GEOM	1.1
ALGEBRAS AND REPRESENTATION THEORY	ALGEBR REPRESENT TH	0.6
ALGORITHMICA	ALGORITHMICA	1
Algorithms	ALGORITHMS	2.6
Algorithms for Molecular Biology	ALGORITHM MOL BIOL	1.6
Alicante Journal of English Studies-Revista Alicantina de Estudios Ingleses	ALICANTE J ENGL STUD	0.3
ALIMENTARY PHARMACOLOGY & THERAPEUTICS	ALIMENT PHARM THER	6.8
Alkoholizm i Narkomania-Alcoholism and Drug Addiction	ALKOHOL NARKOM	0.5
All Azimuth-A Journal of Foreign Policy and Peace	ALL AZIMUTH	1
All Earth	ALL EARTH	3
All Life	ALL LIFE	1.4
Allergo Journal	ALLERGO J	0.4
ALLERGOLOGIE	ALLERGOLOGIE	0.7
Allergologie select	ALLERGOL SEL	5.1
ALLERGOLOGY INTERNATIONAL	ALLERGOL INT	6.2
ALLERGY	ALLERGY	11.3
ALLERGY AND ASTHMA PROCEEDINGS	ALLERGY ASTHMA PROC	2
